ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-10,35.24398381868903,-0.7972197956024413,172.39037388637374,35.24398381868903,35.24398381868903,51.771155687105384,51.771155687105384,51.771155687105384,74.2457616,74.2457616,74.2457616,6.3588110762708165,6.3588110762708165,6.3588110762708165,-28.83341698916543,-28.83341698916543,-28.83341698916543,0.0,0.0,0.0,87.01513950579442
2016-01-11,35.436174756643815,-12.516484820501356,141.0669208860259,35.436174756643815,35.436174756643815,26.092679791472385,26.092679791472385,26.092679791472385,74.2457616,74.2457616,74.2457616,-21.280444952503867,-21.280444952503867,-21.280444952503867,-26.872636856023746,-26.872636856023746,-26.872636856023746,0.0,0.0,0.0,61.5288545481162
2016-01-12,35.62836569459863,-21.50278049415717,148.61776594125774,35.62836569459863,35.62836569459863,26.856844074665098,26.856844074665098,26.856844074665098,74.2457616,74.2457616,74.2457616,-23.216435422146635,-23.216435422146635,-23.216435422146635,-24.172482103188262,-24.172482103188262,-24.172482103188262,0.0,0.0,0.0,62.485209769263726
2016-01-13,35.82055663255344,11.49323571748297,174.31948697649304,35.82055663255344,35.82055663255344,54.97933626885162,54.97933626885162,54.97933626885162,74.2457616,74.2457616,74.2457616,1.5132503827725234,1.5132503827725234,1.5132503827725234,-20.779675713920902,-20.779675713920902,-20.779675713920902,0.0,0.0,0.0,90.79989290140506
2016-01-14,36.01274757050822,-1.2823502121840575,162.7148699268422,36.01274757050822,36.01274757050822,44.031517192602195,44.031517192602195,44.031517192602195,74.2457616,74.2457616,74.2457616,-13.457859999935586,-13.457859999935586,-13.457859999935586,-16.756384407462217,-16.756384407462217,-16.756384407462217,0.0,0.0,0.0,80.04426476311042
2016-01-15,36.20493850846303,16.407567111591337,183.06053664321325,36.20493850846303,36.20493850846303,61.03954503039163,61.03954503039163,61.03954503039163,74.2457616,74.2457616,74.2457616,-1.0273656128550583,-1.0273656128550583,-1.0273656128550583,-12.178850956753319,-12.178850956753319,-12.178850956753319,0.0,0.0,0.0,97.24448353885467
2016-01-16,36.39712944641784,70.05501164035444,221.96366202190683,36.39712944641784,36.39712944641784,118.22007233149553,118.22007233149553,118.22007233149553,74.2457616,74.2457616,74.2457616,51.11004452849392,51.11004452849392,51.11004452849392,-7.13573379699839,-7.13573379699839,-7.13573379699839,0.0,0.0,0.0,154.61720177791338
2016-01-17,36.58932038437263,31.41126811291418,199.40856820365988,36.58932038437263,36.58932038437263,78.87838079005427,78.87838079005427,78.87838079005427,74.2457616,74.2457616,74.2457616,6.358811076229595,6.358811076229595,6.358811076229595,-1.7261918861753367,-1.7261918861753367,-1.7261918861753367,0.0,0.0,0.0,115.46770117442689
2016-01-18,36.78151132232744,10.947482421621475,178.20452744461005,36.78151132232744,36.78151132232744,56.907558791015845,56.907558791015845,56.907558791015845,74.2457616,74.2457616,74.2457616,-21.28044495249527,-21.28044495249527,-21.28044495249527,3.942242143511127,3.942242143511127,3.942242143511127,0.0,0.0,0.0,93.68907011334329
2016-01-19,36.973702260282224,16.491369320934282,181.9703308227776,36.973702260282224,36.973702260282224,60.78527960106097,60.78527960106097,60.78527960106097,74.2457616,74.2457616,74.2457616,-23.216435422235865,-23.216435422235865,-23.216435422235865,9.755953423296846,9.755953423296846,9.755953423296846,0.0,0.0,0.0,97.75898186134319
